TITLE,MODEL,DESCRIPTION,CONDITION,STATUS,PRICE_LIST,PRICE
Karcher - Curatitor cu apa sub presiune K7 Compact Home,1.447-053.0,"K 7 Compact Home cu motor răcit cu apă. Pentru utilizarea frecventă și îndepărtarea murdăriei persistente. Poate curăța potecile, piscinele, bicicletele sau vehiculele mari.,Presiune : 180 bari ,Varianta Home vine in plus cu : -Tracer 450 curatitor de suprafete ,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ) ,click aici pentru naviga spre produs!,cod comanda: 1.447-053.0",Nou,in stoc ,3248.0,"2 450,00"
Karcher - Curatitor cu abur SG 4/4,1.092-104.0,"Aparat de curatat cu abur compact SG 4/4 cu o presiune puternica a aburului de 4 bari. Cu control variabil continuu al volumului de aburi si functie VapoHydro pentru o curatare perfecta si fara utilizarea substantelor chimice.,Curatitor cu aburi fara functie de aspirare,Extrem de eficient atunci când vine vorba de combaterea virusului COVID-19 ,având o temperatură de 100 °C și o presiune de 4 bari.,Cod de comanda:1.092-104.0",Nou,In stoc ,7861.0,"5 390,00"
Karcher - MOP ELECTRIC BR 4.300,1.783-212.0,"Aparatul compact de curatat podele dure BR 4.300 este alternativa inovativa si puternica pentru curatarea manuala a suprafetelor dure de la 20 pana la 200 m², datorita celor doar 11,5 kg ale sale . Podeaua este imediat uscata dupa curatare, neprezentand pericol de alunecare.,cod comanda: 1.783-212.0",Nou,La comanda,7427.0,"5 170,00"
Karcher - Purificator de aer AF 100,1.024-810.0,"Pentru o calitate optimă a aerului în camere de până la 100m²: purificatorul de aer mobil AF 100 cu senzor laser precis, mod automat și mai multe tipuri de filtre pentru diferite domenii de aplicare.,cod comanda: 1.024-810.0",Nou,In stoc,5554.0,"3 820,00"
Karcher - Aspirator cu spalare PUZZI 10/1,1.100-130.0,"Puzzi, 10/1 cu duza pentru podea/duza pentru tapiserii pentru curatarea covoarelor si a tapiseriilor prin spray-extractie. Ideal pentru suprafete mici. Cu carlig integrat pentru cablu si suport pentru maner prevazut cu teava de aspirare/declansator.,cod comanda: 1.100-130.0",Nou,IN STOC ,5540.0,"3 810,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K7 PREMIUM SMART CONTROL HOME,1.317-233.0,"K 7 Premium Smart Control: aparat de spălat cu presiune cu Bluetooth, aplicație, modul boost pentru putere suplimentară, pistol de pulverizare G 180 Q Smart Control, lance 3-în-1 Multi Jet, tambur furtun. Include setul Home.,cod comanda:1.317-233.0,Varianta premium-smart home vine in plus cu:,-tambur pentru strangerea furtunului de presiune,-bluetooth pentru conectarea cu telefonul,-Accesoriu de spalat suprafete ",Nou,in stoc ,4388.0,"3 390,00"
Karcher - Aspirator cu abur SV 7,1.439-410.0,"Curatare cu abur, aspirare și uscarea într-o singură trecere, aspiratorul cu abur SV 7 combină multifuncționalitatea și confortul maxim într-un singur dispozitiv!,cod comanda: 1.439-410.0",Nou,,4074.0,"3 150,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K7 PREMIUM SMART CONTROL,1.317-230.0,"O curățare perfectă cu ajutorul aplicației Home & Garden: aparatul de spălat cu presiune K7 Premium Smart Control cu modul boost. Poate fi conectat la smartphone prin Bluetooth.,cod comanda: 1.317-230.0,Varianta premium-smart home vine in plus cu:,-tambur pentru strangerea furtunului de presiune,-bluetooth pentru conectarea cu telefonul",Nou,La comanda,3920.0,"3 080,00"
Karcher - Statie de calcat cu abur SI 4 Iron Kit Easy Fix,1.512-462.0,"Stația de călcat SI 4 ,EasyFix, Iron pentru călcare usoara și curățare neîntreruptă datorită fierului cu aburi și rezervorului de apă permanent reîncărcabil. Incl. masă de călcat activă.,cod comanda: 1.512-462.0",Nou,la comanda ,3867.0,"3 050,00"
Karcher - Aspirator cu spalare Puzzi 8/1 C,1.100-240.0,"Cu Puzzi 8/1 C extindem gama noastra existenta de produse de curatare cu spray-extractie cu un aparat puternic din clasa de baza. Acest aparat cu spray-extractie poate fi folosit eficient pentru curatarea tapiteriei sau a petelor de pe mochete. Datorita volumului extrem de scazut de umezeala reziduala, mochetele si tapiteria curatate pot fi folosite din nou rapid.,Cod de comanda:1.100-240.0",Nou,IN STOC ,4300.0,"2 920,00"
Karcher - Masina de tuns iarba LMO BATTERY 36-46 SET,1.444-470.0,"Mașina de tuns iarba cu acumulator LMO 36-46.  Cu tracțiune pe spate prin apăsarea unui buton - deosebit de practică pe plan înclinat.,Battery Set vine cu acumulator și încărcător rapid.,cod comanda: 1.444-470.0",Nou,La comanda,4399.0,"2 772,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K5 PREMIUM SMART CONTROL HOME,1.324-673.0,"K 5 Premium Smart Control: aparatul de spălat cu presiune cu Bluetooth, control prin aplicație, modul boost pentru putere suplimentară, pistol de pulverizare G 180 Q Smart Control, lance de pulverizare Multi Jet 3 în 1, tambur pentru furtun. Include Home kit,cod comanda: ,1.324-673.0,Varianta premium-smart home vine in plus cu:,-tambur pentru strangerea furtunului de presiune,-bluetooth pentru conectarea cu telefonul,-varianta Home vine in plus cu un curatitor de suprafete.",Nou,in stoc ,3280.0,"2 540,00"
Karcher - CURATITOR CU APA CUPRESIUNE K7 SMART CONTROL,1.317-200.0,"O curățare perfectă cu ajutorul aplicației Home & Garden: aparatul de spălat cu presiune K7 Smart Control cu modul boost. Poate fi conectat la smartphone prin Bluetooth.,cod comanda: 1.317-200.0,Varianta smart vine cu bluetooth pentru conectarea cu telefonul",Nou,In stoc ,3750.0,"2 490,00"
Karcher - Masina de tuns iarba LMO BATTERY 36-40 SET,1.444-450.0,"Cu mașina de tuns iarba cu acumulator LMO 36-40 .Battery Set cu lățime mare de tăiere și recipient încăpător de colectare se lucrează mai eficient. ,Setul include acumulator și încărcător rapid.,cod comanda: 1.444-450.0",Nou,Produsul nu mai este disponibil,3000.0,"2 380,00"
Karcher - Curatitor cu abur SC5 Iron Kit Easy Fix,1.512-536.0,"SC 5 Iron Kit: cel mai puternic aparat de curatat cu abur (4,2 bari presiune a aburului)! Cu duza pentru podele EasyFix, functie ,VapoHydro,, rezervor apa cu reumplere continua si fier de calcat cu abur!,Varianta Sc 5 Iron Kit vine in plus cu:,-fier de calcat,cod comanda: ,1.512,-536.0",Nou,,3003.0,"2 322,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K 5 PREMIUM SMART CONTROL,1.324-670.0,"K 5 Premium Smart Control: aparatul de spălat cu presiune cu Bluetooth, control prin aplicație, modul boost pentru presiune suplimentară, pistol de pulverizare G 180 Q Smart Control, lance de pulverizare Multi Jet 3 în 1, tambur pentru furtun.,cod comanda: 1.324-670.0,Varianta premium-smart vine in plus cu:,-tambur pentru strangerea furtunului de presiune,- bluetooth pentru conectarea cu telefonul",Nou,La comanda,2960.0,"2 290,00"
Karcher - Curatitor cu apa sub presiune K7 Compact,1.447-050.0,"Extra compact pentru utilizare frecventă pe murdăria persistenta, aparatul de spălat cu presiune K 7 Compact este ușor de transportat și depozitat. Randament de curatare 60 m²/h.,Presiune : 180 de bari,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda: 1.447-050.0",Nou,in stoc ,2922.0,"2 260,00"
Karcher - MOP ELECTRIC FC 7 CORDLESS,1.055-730.0,"Nu mai aspirați niciodată înainte de a șterge podelele: FC 7 Cordless elimină toate tipurile de murdărie uscată și umedă într-o singură trecere.,cod comanda: 1.055-730.0",Nou,In stoc ,2346.0,"2 160,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K5 POWER CONTROL HOME,1.324-553.0,"Pentru un control și mai bun: aparatul de spălat cu presiune K5 Power Control Home cu asistare prin intermediul aplicației, pistolul de pulverizare G 160 Q Power Control, lance de pulverizare Vario Power și sistemul ,Plug 'n' Clean,.,Presiune 145 de bari,Varianta Home vine in plus cu un curatitor de suprafete.,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),cod comanda: 1.324-553.0",Nou,La comanda,2730.0,"2 150,00"
Karcher - CURATITOR CU ABUR SC 5 IRON PLUG *EU,1.512-530.0,"SC 5 EasyFix cu Iron Plug este un puternic aparat de curatat cu abur ce are un rezervor de apa detasabil cu reumplere continua ce ofera utilizatorului posibilitatea de completare cu apa pentru o curatare continua.,Varianta IRON PLUG vine cu priza pentru conectarea fierului de calcat.,Fierul de calcat se poate achizitioneaza separat,click aici pentru fier de calcat!,cod comanda: 1.512-530.0",Nou,La comanda,2589.0,"1 990,00"
Karcher - Masina de tuns iarba LMO BATTERY 18-36 SET,1.444-421.0,"Include bateria reîncărcabilă și încărcătorul rapid: Masina de tuns iarba, extrem de agila și ușoara.,LMO 18-36 Set cu baterie, încărcător si reglaj al înălţimii de taiere în 4 trepte,.,cod comanda: 1.444-421.0",Nou,La comanda,2005.0,"1 968,00"
Karcher - CURATITOR CU APA SUB PRESIUNE K5 SMART CONTROL,1.324-650.0,"K5 Smart Control: aparatul de spălat cu presiune cu Bluetooth, control prin aplicație, modul boost pentru putere suplimentară, pistol de pulverizare G 180 Q Smart Control, lance de pulverizare Multi Jet 3 în 1, tambur pentru furtun.,cod comanda:1.324-650.0,Varianta smart vine cu bluetooth pentru conectarea aparatului la telefon",Nou,La comanda,2082.0,"1 870,00"
Karcher - Masina de maturat S 6 twin,1.766-460.0,"Masina de maturat Karcher S 6 twin p,entru curatenie rapida si usoara, fara efort.,cod comanda: 1.766-460.0",Nou,la comanda ,2357.0,"1 820,00"
Karcher - Bp 7 home and garden pompa pentru gradina,1.645-373.0,"BP 7 Home&Garden ""Premium"", pompa pentru casa si gradina, cu 5 trepte de reglare, pentru udarea gradinii si alimentarea cu apa a casei. (ex. folosirea apei de ploaie). Convenabil, puternic, de incredere!,cod comanda: 1.645-373.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,2340.0,"1 810,00"
Karcher - CURATITOR CU ABUR SC 4 IRON KIT YELLOW *EU,1.512-461.0,"Aparatul de curatat cu aburi SC 4 EasyFix Iron cu duză de pardoseală EasyFix și fier de călcat conectat la presiunea de abur. Include un rezervor de apă detașabil, care poate fi curățat foarte ușor.,cod comanda: 1.512-461.0",Nou,La comanda,2268.0,"1 780,00"
Karcher - Mop electric Fc 5 cu acumulator,1.055-601.0,"Combină toate avantajele mopului electric cu aspirare FC 5 cu flexibilitatea curățării fara fir, incluzând funcția 2 în 1 pentru ștergerea și aspirarea într-o singură trecere.,cod comanda: 1.055-601.0",Nou,La comanda ,1820.0,"1 760,00"
Karcher - Bp 6 Deep Well pompa submersibila,1.645-422.0,"Pompa submersibila de inalta presiune BP 6 Deep Well cu cablu 30 m - ideala pentru apa subterana din fartani (adanci). Cu carcasa inox, suport montare si comutator pornire/oprire separat.,cod comanda: ,1.645-422.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,2277.0,"1 760,00"
Karcher - Curatitor cu apa sub presiune K5 Compact Home,1.630-753.0,"K 5 Compact Home cu motor răcit cu apă este ușor de transportat. Aparatul de spalat cu presiune include Kit-ul Home cu T 350, pentru curațarea suprafețelor din piatră și pentru fațade.,Presiune : 145 bari,Varianta home vine in plus cu:,- T350 curatitor de suprafete,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda: 1.630-753.0",Nou,In stoc ,1998.0,"1 750,00"
Karcher - Matura electrica EB 30/1 Adv Li-Ion,1.545-127.0,"Kärcher a lansat prima matura electrica angrenata cu baterii pentru utilizatori comerciali, EB 30/1 Professional Li-Ion. Versiunea profesionala include un incarcator rapid de baterii in locul incarcatorului standard de baterie care reduce durata de incarcare de la 3 ore la 90 minute. Datorita periei rotative si recipientului pentru murdarie, acest model nou dezvoltat este o matura si faras intr-un singur aparat. Poate fi folosit pentru a aspira podelele dure si covoarele rapid, functionand silentios (56 dB/A) si fiabil in timpul orelor de program.,cod comanda: 1.545-127.0",Nou,La comanda,2090.0,"1 655,00"
Karcher - Masina de maturat S 6,1.766-420.0,"Masina de maturat Karcher S 6 p,entru curatenie rapida si usoara, fara efort.,cod comanda: 1.766-420.0",Nou,la comanda ,2120.0,"1 640,00"
Karcher - Aspirator vertical VC 5 Premium pe acumulator, 1.349-350.0,"Mic, dar puternic: aspiratorul fara sac Karcher VC 5 Cordless poate fi usor depozitat in cele mai mici locuri si curata la fel de eficient ca un aspirator de dimensiuni obisnuite.,Cod de articol :  1.349-350.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1745.0,"1 631,00"
Karcher - Bp 5 Home and Garden pompa pentru gradina,1.645-355.0,"BP 5 Home&Garden ""Premium"", pompa pentru casa si gradina, cu 4 trepte de reglare, pentru udarea gradinii si alimentarea cu apa a casei. (ex. folosirea apei de ploaie). Convenabil, puternic, de incredere!,cod comanda: 1.645-355.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1787.0,"1 570,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K4 PREMIUM POWER CONTROL,1.324-130.0,"Aparatul de spălat cu presiune K4 Premium Power Control cu pistol de pulverizare G 145 Q Power Control, lance de pulverizare și tambur pentru furtun. Ofera asistență optimă prin aplicația Kärcher Home & Garden,cod comanda: 1.324-130.0,Varianta Premium vine in plus cu:,Tambur pentru strangerea furtunului de presiune",Nou,La comanda ,1987.0,"1 540,00"
Karcher - Aspirator cu spalare SE 5.100,1.081-200.0,"Aspirator cu spalare SE 5.100 pentru curatarea in profunzime a covoarelor. Cu sistem confortabil 2-in-1, doua rezervoare de apa , comutatoare mari si sistem de blocare practic.,Cod de comanda:1.081-200.0",Nou,In stoc ,2126.0,"1 530,00"
Karcher - Foarfeca de tuns gardul viu HGE 36-60 battery set,1.444-251.0,"Foarfeca de tuns gardul viu HGE 36-60 Battery Set cu mâner rotativ și funcție de reglare a vitezei este soluția optimă pentru orice cerință. ,Setul include acumulator și încărcător rapid.,cod comanda: 1.444-251.0",Nou,La comanda,1648.0,"1 510,00"
Karcher - Aspirator cu filtrare prin apa DS 6,1.195-220.0,"Aspiratorul Kärcher cu filtru de apă nu garantează numai o podea curată, ci și aer proaspăt și curat 99,95%* (99,5%). Aceasta duce la o atmosferă mai plăcută si presupune un beneficiu foarte important pentru cei care sufera de alergii.,cod comanda: 1.195-220.0",Nou,la comanda ,1899.0,"1 466,00"
Karcher - Bp 4 deep well pompa submersibila,1.645-421.0,"Pompa submersibila de inalta presiune, BP 4 Deep Well - ideala pentru apa subterana din fantani (adanci). Cu carcasa din inox, suport montare + comutator pornire/oprire separat.,cod comanda: ,1.645-421.0",Nou,,1865.0,"1 440,00"
Karcher - Curatitor cu apa sub presiune K4 Compact Home,1.637-503.0,"Aparatul de spalat cu presiune Karcher K 4 Compact Home pentru utilzarea ocazională, poate fi depozitat și transportat ușor. Include Kit-ul Home cu detergent și accesoriu T-Racer T 350.,Presiune : 130 bari,Varianta Home vine in plus cu:,-curatitor de suprafete T-racer 350,-detergent de piatra,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda: 1.637-503.0",Nou,,1760.0,"1 430,00"
Karcher - Bp 5 Home hidrofor,1.645-370.0,"Puternica pompa BP 5 Home pentru alimentarea cu apă menajeră, cu un container integrat de compensare a presiunii, pompează automat apa recuperata din surse alternative în întreaga casă.,cod comanda: 1.645-370.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1830.0,"1 415,00"
Karcher - Masina de tuns iarba LMO BATTERY 18-33 SET,1.444-401.0,"Pentru manevrarea fără efort în grădină: Mașina de tuns iarba ușoară și extrem de manevrabilă LMO 18-33., Battery Set, include bateria și încărcătorul rapid.,cod comanda: 1.444-401.0",Nou,La comanda ,1533.0,"1 410,00"
Karcher - Curatitor cu apa sub presiune K5 Compact,1.630-750.0,"Caracteristici inovatoare de depozitare a furtunurilor, aparatul de spalat cu presiune Karcher K 5 Compact este ușor de transportat și depozitat. Ideal in curatatea murdariei moderate,Presiune : 145 bari,Pentru curatarea cu spuma puternica va recomandam sa achizitionati accesoriul Fj 6 (Pentru autoturisme, motociclete, etc. ),click aici pentru naviga spre produs!,cod comanda: 1.630-750.0",Nou,in stoc ,1870.0,"1 410,00"
Karcher - Aspirator cu spalare SE 4002,1.081-140.0,"Aspiratoare cu spălare tip spray-extracţie pentru curăţarea de bază a covoarelor şi pardoselilor dure.,Aspiratorul Se4002 vine in plus fata de modelul 4001 cu: ,-o duza mica pentru spalarea tapiteriei ,- furtunul de insertie solutie este integrat in furtunul de aspiratie.,Cod de comanda:1.081-140.0",Nou,In stoc ,1940.0,"1 405,00"
Karcher - Aspirator multifunctional WD3 cu acumulator,1.629-911.0,"Set-ul WD 3 cu baterie de 36 V. Aspirator multifunctional pentru diverse aplicații.,Contine baterie si incarcator,cod comanda: 1.629-911.0",Nou,La comanda,1777.0,"1 375,00"
Karcher - Resigilat-Aspirator cu spalare SE 5.100,1.081-200.0r,"Aspirator cu spalare pentru curatarea de baza a covoarelor si pardoselilor dure. Se poate utiliza si ca aspirator uscat/umed.,Cod de comanda:1.081-200.0",Resigilat,,1520.0,"1 340,00"
Karcher - Masina de tuns iarba LMO BATTERY 18-36,1.444-420.0,"Mașina de tuns iarba LMO 18-36 impresionează cu manevrabilitatea sa incredibilă și greutatea redusă. Înălțimea de tăiere poate fi reglată fără efort în mod centralizat pe puntea de tăiere.,Masina vine fara baterie si incarcator,cod comanda: 1.444-420.0",Nou,La comanda,1408.0,"1 312,00"
Karcher - Pompa de apa murdara cu tocator BT 6877 K SPECIAL,BT6877K,cod comanda: BT6877K,Nou,,1625.0,"1 250,00"
Karcher - Aspirator uscat - umed WD6P Premium,1.628-381.0,"Extrem de puternic si eficient energetic: aspiratorul multifunctional WD 6 P Premium. Cu recipient din otel inoxidabil, stecar, tehnologie inovativa de scoatere a filtrulu, functie de curatare a filtrului si reglare a performantei.,Cod de comanda:1.628-381.0",Nou,la comanda ,1617.0,"1 250,00"
Karcher - Pompa submersibila de mare adancime BP 14,BP14,"În cazul inundaţiilor sau pentru pomparea căminelor inundate de ape subterane, pentru drenarea altor spaţii inundate, pentru irigarea grădinilor prin inundare.,cod comanda: BP14",Nou,,1560.0,"1 200,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K4 POWER CONTROL,1.324-030.0,"Puteți beneficia de suport optim prin intermediul aplicației Kärcher Home & Garden: aparatul de spălat cu presiune K4 Power Control cu pistol de pulverizare G 145 Q Power Control.,cod comanda:1.324-030.0",Nou,In stoc,1730.0,"1 190,00"
Karcher - BP 2 Cistern pompa de presiune submersibila,1.645-420.0,"BP 2 Cistern cu carcasa rezistenta din inox, este o pompa de inalta presiune, submersibila, ideala pentru udarea gradinii cu apa de ploaie dintr-o cisterna. Include racorduri furtun + intrerupator flotor.,cod comanda: ,1.645-420.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1532.0,"1 185,00"
Karcher - Bp 4 Home and Garden pompa pentru gradina,1.645-363.0,"Pompa de uz casnic și grădină BP 4 Home & Garden durabilă și puternică este soluția ideală pentru irigarea grădinii și alimentarea cu apă în casă, de ex. folosind apa de ploaie.,cod comanda: 1.645-363.0",Nou,LA COMANDA -LIVRARE IN 4 ZILE,1340.0,"1 180,00"
Karcher - Bp 3 Home and Garden pompa pt gradina,1.645-353.0,"Pompa rezistenta si puternica pentru casa si gradina BP 3 Home & Garden, este solutia ideala pentru udarea gradinii si alimentarea cu apa a casei, folosind de exemplu apa de ploaie.,cod comanda: 1.645-353.0",Nou,,1515.0,"1 170,00"
Karcher - ASPIRATOR VERTICAL VC 4s CORDLESS PLUS,1.198-282.0,"Versatil în utilizare și cu un timp de funcționare de până la o oră: Aspiratorul nostru ,VC 4s, Cordless Plus 2-in-1 impresionează prin performanțele sale excelente de curățare în toată casa.,cod comanda: 1.198-282.0",Nou,STOC EPUIZAT,1415.0,"1 160,00"
Karcher - Pompa de apa murdara cu tocator BT 6877 K INOX,BT6877K,"Ideal pentru scoaterea apei din beci, puţuri, eliminarea apei uzate.,cod comanda: ,BT 6877 K",Nou,,1495.0,"1 150,00"
Karcher - Suflanta pentru frunze LBL 4 battery set,1.445-160.0,"Suflanta puternică de 36 V deține control al puterii în două trepte si obtine o viteză maximă a aerului de 250 km/h. ,Vine într-un set cu baterie și încărcător rapid.,cod comanda: 1.445-160.0",Nou,,1253.0,"1 121,00"
Karcher - Pompa submersibila de mare adancime BP 18/3,BP18/3,"În cazul inundaţiilor sau pentru pomparea căminelor inundate de ape subterane, pentru drenarea altor spaţii inundate, pentru irigarea grădinilor prin inundare.,cod comanda: ,BP 18/3",Nou,,1456.0,"1 120,00"
